episode,total_reward
1.0,-1162.9400157760829
2.0,-1329.7099910601974
3.0,-129.9500001166016
4.0,3.291293978691101e-06
5.0,1.7881393432617188e-06
6.0,-329.7600107342005
7.0,-58.84000238589943
8.0,1.0805204510688782e-05
9.0,-9.999997971579432
